MMSI,Time,SOG,Longitude,Latitude,COG
607,19900101_090036,13.4,-13.9005067,8.28719833,274.9
471,19900101_090038,0,-14.6131783,8.36855833,325.7
471,19900101_090038,0,-14.6131783,8.36855833,325.7
700,19900101_090101,17.6,-13.9074833,8.29531667,275
700,19900101_090101,17.6,-13.9074833,8.29531667,275
1,19900101_090112,0,-14.61287,8.367975,355.1
1,19900101_090112,0,-14.61287,8.367975,355.1
905,19900101_090146,14.7,-14.21425,8.3732,293.4
905,19900101_090146,14.7,-14.21425,8.3732,293.4
700,19900101_090149,17.5,-13.9133167,8.29566667,275
700,19900101_090149,17.5,-13.9133167,8.29566667,275
700,19900101_090213,17.5,-13.9162333,8.29585,275
700,19900101_090213,17.5,-13.9162333,8.29585,275
700,19900101_090225,17.5,-13.9176833,8.29593333,275
700,19900101_090225,17.5,-13.9176833,8.29593333,275
607,19900101_090236,13.3,-13.9116233,8.28757667,273.6
607,19900101_090236,13.3,-13.9116233,8.28757667,273.6
905,19900101_090258,14.9,-14.2214833,8.37516667,293.9
905,19900101_090258,14.9,-14.2214833,8.37516667,293.9
700,19900101_090301,17.5,-13.92205,8.29621667,275
700,19900101_090301,17.5,-13.92205,8.29621667,275
905,19900101_090659,14.7,-14.2452667,8.38165,294.1
607,19900101_090707,12.9,-13.93606,8.28986167,289.2
607,19900101_090708,12.9,-13.93606,8.28986167,289.2
700,19900101_090708,17.2,-13.9494,8.30025,292
700,19900101_090709,17.2,-13.9494,8.30025,292
607,19900101_090717,12.8,-13.936805,8.29005667,290.4
607,19900101_090727,12.8,-13.9376383,8.29025667,290.5
607,19900101_090727,12.8,-13.9376383,8.29025667,290.5
905,19900101_090734,14.7,-14.24885,8.38265,293.7
905,19900101_090735,14.7,-14.24885,8.38265,293.7
905,19900101_090747,14.7,-14.2501333,8.38301667,294.2
607,19900101_090756,12.8,-13.9400283,8.29087333,291.7
607,19900101_090757,12.8,-13.9400283,8.29087333,291.7
700,19900101_090809,17.2,-13.9573,8.30256667,293
905,19900101_090824,15.1,-14.2539333,8.38406667,293.1
905,19900101_090848,15.3,-14.2562333,8.3847,293.7
607,19900101_090857,12.8,-13.9448917,8.29213667,291.3
905,19900101_090948,15.3,-14.2621667,8.38633333,295.4
378,19900101_090953,18.7,-13.8023833,8.28848333,277
378,19900101_091053,18.7,-13.8099,8.28905,276
700,19900101_091145,17,-13.9808833,8.3092,292
378,19900101_091153,18.7,-13.8178167,8.28971667,276
700,19900101_091215,17,-13.9841667,8.3101,292
378,19900101_091234,18.6,-13.8228167,8.28996667,273
378,19900101_091247,18.6,-13.8243667,8.29001667,273
905,19900101_091258,15.1,-14.2813833,8.39163333,294.7
700,19900101_091326,16.9,-13.992,8.31228333,292
700,19900101_091339,16.9,-13.9933,8.31265,292
905,19900101_091347,15.2,-14.2863,8.39303333,294.9
378,19900101_094010,18.2,-14.0258333,8.32453333,295
607,19900101_094017,12.3,-14.0917267,8.33716,290.8
